index_train,similarity
17482 15420 13074 22108 17525 17720 21814 36378 678 12880 34344 11995 15715 19192 541 ,0.18666666666666668 0.18518518518518517 0.1694915254237288 0.16883116883116883 0.16666666666666666 0.16666666666666666 0.16666666666666666 0.16666666666666666 0.16363636363636364 0.1625 0.16091954022988506 0.16071428571428573 0.16 0.16 0.15853658536585366 
15467 5378 2919 9966 26600 12681 29122 16783 39602 26028 13577 2044 1226 14523 38458 ,0.1437908496732026 0.14285714285714285 0.13917525773195877 0.1390728476821192 0.13664596273291926 0.13541666666666666 0.13513513513513514 0.1348314606741573 0.13043478260869565 0.12953367875647667 0.12804878048780488 0.12738853503184713 0.12727272727272726 0.12727272727272726 0.12690355329949238 
16305 13778 15388 35854 22944 25981 21593 8714 4110 24653 3989 27280 27902 13861 11584 ,0.18181818181818182 0.16831683168316833 0.16417910447761194 0.16129032258064516 0.16 0.16 0.15789473684210525 0.15730337078651685 0.15555555555555556 0.1523809523809524 0.15151515151515152 0.1511627906976744 0.1509433962264151 0.1506849315068493 0.15053763440860216 
32624 18208 17482 15846 23059 6511 4893 12779 13260 22189 20583 3089 36795 14246 17525 ,0.14782608695652175 0.13709677419354838 0.13333333333333333 0.13043478260869565 0.12727272727272726 0.1271186440677966 0.125 0.125 0.125 0.12403100775193798 0.12295081967213115 0.12280701754385964 0.12149532710280374 0.1206896551724138 0.12048192771084337 
7172 29696 31660 1496 4052 37835 15479 39546 5057 25926 26466 27246 22281 18600 18994 ,0.12650602409638553 0.12637362637362637 0.11715481171548117 0.1165644171779141 0.1111111111111111 0.1111111111111111 0.1099476439790576 0.1091703056768559 0.10828025477707007 0.10738255033557047 0.10697674418604651 0.10638297872340426 0.10588235294117647 0.10559006211180125 0.10526315789473684 
2337 28077 27220 26755 11789 9929 10618 12474 22253 3239 33343 23036 20105 2342 30147 ,0.14432989690721648 0.14225941422594143 0.13953488372093023 0.1366120218579235 0.13574660633484162 0.1346938775510204 0.1346938775510204 0.1346938775510204 0.13402061855670103 0.13333333333333333 0.13333333333333333 0.1318181818181818 0.13147410358565736 0.1308411214953271 0.13068181818181818 
32575 1871 6660 9059 18978 1547 8075 33465 4669 30370 18981 25119 4073 31217 33841 ,0.17258883248730963 0.16587677725118483 0.15897435897435896 0.1574468085106383 0.1527777777777778 0.15246636771300448 0.15178571428571427 0.15028901734104047 0.14835164835164835 0.14792899408284024 0.1476510067114094 0.14728682170542637 0.14556962025316456 0.14522821576763487 0.14396887159533073 
11752 7023 31287 14200 32353 29624 4988 28144 11504 24765 123 36449 4968 18768 5431 ,0.06493506493506493 0.060240963855421686 0.057971014492753624 0.05714285714285714 0.05714285714285714 0.056338028169014086 0.056179775280898875 0.0547945205479452 0.052083333333333336 0.05194805194805195 0.05185185185185185 0.05063291139240506 0.05 0.04950495049504951 0.04938271604938271 
18831 10795 2278 16212 724 10174 27644 34647 3426 38778 31089 35745 38732 21593 30715 ,0.19130434782608696 0.1864406779661017 0.18487394957983194 0.18382352941176472 0.1794871794871795 0.17857142857142858 0.17557251908396945 0.17543859649122806 0.175 0.17424242424242425 0.17415730337078653 0.17355371900826447 0.17355371900826447 0.1724137931034483 0.17117117117117117 
2253 26859 7074 38719 20170 16007 21264 28341 14998 14511 14459 2148 30893 31436 15021 ,0.1134020618556701 0.10975609756097561 0.10784313725490197 0.10638297872340426 0.10526315789473684 0.10476190476190476 0.10309278350515463 0.10227272727272728 0.10204081632653061 0.10101010101010101 0.10091743119266056 0.1 0.1 0.1 0.09859154929577464 
25636 15601 23692 38824 1692 15288 21980 6891 17475 27771 1789 5270 12794 15824 31199 ,0.10084033613445378 0.0972972972972973 0.0967741935483871 0.09316770186335403 0.09302325581395349 0.09302325581395349 0.09219858156028368 0.0916030534351145 0.09090909090909091 0.0896551724137931 0.08955223880597014 0.08955223880597014 0.08955223880597014 0.08943089430894309 0.0893854748603352 
5320 19223 36134 13048 4875 16615 16045 22073 37026 123 25390 38197 26980 38623 4295 ,0.13559322033898305 0.13253012048192772 0.12698412698412698 0.12643678160919541 0.125 0.125 0.12121212121212122 0.12121212121212122 0.12121212121212122 0.12 0.12 0.11940298507462686 0.11764705882352941 0.11711711711711711 0.11594202898550725 
14903 31876 31067 765 20957 13132 10438 7531 34692 16490 25679 16998 9024 25572 9860 ,0.1821705426356589 0.16538461538461538 0.14468085106382977 0.14214463840399003 0.13872832369942195 0.1386861313868613 0.13846153846153847 0.13617021276595745 0.13574660633484162 0.13513513513513514 0.13409961685823754 0.13398692810457516 0.13382899628252787 0.13302752293577982 0.13257575757575757 
17693 7217 31929 24883 39951 6518 22752 24335 6987 26962 16420 9683 27848 37788 24932 ,0.16494845360824742 0.1595744680851064 0.1574074074074074 0.15730337078651685 0.15555555555555556 0.15454545454545454 0.15447154471544716 0.15306122448979592 0.1523809523809524 0.1523809523809524 0.1485148514851485 0.1484375 0.14634146341463414 0.1452991452991453 0.14473684210526316 
27824 4378 21408 22448 2557 30306 25564 31718 16869 19724 18015 15276 35481 12377 20512 ,0.15594541910331383 0.1512455516014235 0.14122137404580154 0.13825757575757575 0.13076923076923078 0.12874779541446207 0.12713178294573643 0.1262135922330097 0.12618296529968454 0.125 0.12269938650306748 0.12254160363086233 0.12101910828025478 0.1203883495145631 0.12005649717514125 
18957 17984 17218 5201 786 5112 16635 16353 18298 19570 30581 21495 39438 1919 14838 ,0.1568627450980392 0.13924050632911392 0.13846153846153847 0.13559322033898305 0.13333333333333333 0.13333333333333333 0.13 0.12727272727272726 0.12727272727272726 0.12643678160919541 0.12280701754385964 0.12195121951219512 0.12162162162162163 0.12087912087912088 0.1206896551724138 
10876 15264 30820 29667 18487 23319 20841 3060 3767 4412 22281 15888 26979 9343 5180 ,0.13333333333333333 0.12626262626262627 0.1261682242990654 0.1258741258741259 0.12411347517730496 0.1220472440944882 0.11940298507462686 0.11857707509881422 0.11842105263157894 0.11822660098522167 0.11805555555555555 0.1180327868852459 0.11788617886178862 0.11742424242424243 0.1168091168091168 
37184 31025 9870 13940 26957 11745 1460 4778 33543 36310 22791 1299 2483 9447 16598 ,0.15570934256055363 0.15162454873646208 0.15120274914089346 0.15018315018315018 0.14860681114551083 0.14606741573033707 0.14545454545454545 0.1437308868501529 0.14285714285714285 0.14285714285714285 0.14246575342465753 0.1422924901185771 0.14189189189189189 0.1417910447761194 0.14124293785310735 
34558 6243 25275 29145 170 23300 1074 12784 19087 10975 200 29186 35990 17076 28351 ,0.15331010452961671 0.14285714285714285 0.14285714285714285 0.1423076923076923 0.14107883817427386 0.1396103896103896 0.1391304347826087 0.13872832369942195 0.13780918727915195 0.13692946058091288 0.13666666666666666 0.13636363636363635 0.13596491228070176 0.13551401869158877 0.13392857142857142 
38760 25515 14310 19102 22283 18972 3656 36970 32471 32641 13804 9069 20517 9232 2266 ,0.1564102564102564 0.14826498422712933 0.14285714285714285 0.125 0.125 0.12335958005249344 0.12322274881516587 0.12276785714285714 0.12183908045977011 0.12144212523719165 0.12096774193548387 0.12083333333333333 0.1206140350877193 0.12032085561497326 0.12009803921568628 
14888 30057 15144 21535 26527 35411 29734 39318 37494 31366 17678 32672 1238 17540 39761 ,0.1262135922330097 0.12598425196850394 0.125 0.125 0.12149532710280374 0.12087912087912088 0.12 0.12 0.11965811965811966 0.11904761904761904 0.1188118811881188 0.11570247933884298 0.11538461538461539 0.11538461538461539 0.11475409836065574 
4636 4924 37128 35477 39911 12193 34391 1480 16593 15821 36357 22462 38427 32521 1299 ,0.18439716312056736 0.1826086956521739 0.1721311475409836 0.17123287671232876 0.16470588235294117 0.16393442622950818 0.16129032258064516 0.16083916083916083 0.16058394160583941 0.1597222222222222 0.15942028985507245 0.1592920353982301 0.15827338129496402 0.15748031496062992 0.15730337078651685 
7616 27880 33476 2414 39963 31414 25587 18396 22792 7704 28153 22337 23546 30975 9666 ,0.15555555555555556 0.145985401459854 0.14492753623188406 0.144 0.14383561643835616 0.14093959731543623 0.140625 0.1388888888888889 0.1388888888888889 0.13812154696132597 0.13725490196078433 0.13690476190476192 0.13548387096774195 0.1347517730496454 0.1346153846153846 
37774 12286 23684 29198 22973 25353 28864 25431 12778 15630 16199 27820 14758 2044 2771 ,0.19148936170212766 0.16666666666666666 0.1650485436893204 0.1625 0.15584415584415584 0.15517241379310345 0.15476190476190477 0.15463917525773196 0.15384615384615385 0.15384615384615385 0.15384615384615385 0.15384615384615385 0.15294117647058825 0.1523809523809524 0.1523809523809524 
31330 28016 22498 4318 2342 3584 3099 4320 23706 28652 32817 34859 9024 17931 8729 ,0.18661971830985916 0.16417910447761194 0.15868263473053892 0.1532567049808429 0.15019762845849802 0.14930555555555555 0.1474820143884892 0.14671814671814673 0.145985401459854 0.1459227467811159 0.14563106796116504 0.1448087431693989 0.14426229508196722 0.14385964912280702 0.14285714285714285 
26859 207 27940 29916 35201 22973 24445 26061 21964 21778 32755 3 31533 32174 6518 ,0.19117647058823528 0.18333333333333332 0.17777777777777778 0.1744186046511628 0.1724137931034483 0.171875 0.17045454545454544 0.1686746987951807 0.16831683168316833 0.16822429906542055 0.16666666666666666 0.16455696202531644 0.16455696202531644 0.16363636363636364 0.16304347826086957 
8392 34755 36424 28033 26307 17960 25839 33164 24010 15530 12403 7301 11351 18422 25 ,0.16856492027334852 0.16494845360824742 0.16363636363636364 0.15733333333333333 0.15705128205128205 0.1548223350253807 0.15211267605633802 0.152 0.1519756838905775 0.15041782729805014 0.1503267973856209 0.15015015015015015 0.15015015015015015 0.14929577464788732 0.14912280701754385 
14891 25270 36945 3968 12867 35986 19038 4207 5383 34595 503 9803 10489 36378 37654 ,0.14035087719298245 0.13333333333333333 0.12 0.11904761904761904 0.11538461538461539 0.11538461538461539 0.11363636363636363 0.1111111111111111 0.1111111111111111 0.1111111111111111 0.10909090909090909 0.10869565217391304 0.10869565217391304 0.10869565217391304 0.10869565217391304 
4052 1463 27880 28969 37891 15381 26799 32206 22337 1146 37687 19736 36414 28728 28024 ,0.11627906976744186 0.11206896551724138 0.10687022900763359 0.10687022900763359 0.10687022900763359 0.10434782608695652 0.10404624277456648 0.09859154929577464 0.09815950920245399 0.09655172413793103 0.09649122807017543 0.0963855421686747 0.0963855421686747 0.0962962962962963 0.09623430962343096 
12851 12503 31203 13624 2585 39199 6166 16449 25894 20373 2279 19985 19262 3673 17820 ,0.17692307692307693 0.1728395061728395 0.16766467065868262 0.16049382716049382 0.1597222222222222 0.15894039735099338 0.15736040609137056 0.15625 0.15568862275449102 0.155 0.15492957746478872 0.15436241610738255 0.15432098765432098 0.15384615384615385 0.15333333333333332 
